"MC","DBMSNR","HZBNR","LAND","MESSSTELLE","bezirk","GEWASSER","HD","X_COORD","Y_COORD","lat","lng","PARAMETER","HERKUNFT","EINHEIT","WERT","ZP","FARBE","SYMBOL","TYP","GESAMTCODE","INTERNET"
,2001037,"212746",,"Presseggen","Hermagor","Pressegger See","Kärnten","407847","303202","46.6288","13.441257","W","O","cm","135","21.12.2010 12:15:00","4","2","0","420","http://info.ktn.gv.at/asp/hydro/daten/Presseggersee_dia5.gif"
,2001042,"212795",,"Faak","Villach Land","Faaker See","Kärnten","444656","297685","46.569187","13.919163","W","O","cm","53","21.12.2010 13:07:30","3","0","0","300","http://info.ktn.gv.at/asp/hydro/daten/Faakersee_dia5.gif"
,4001092,"205450",,"Fischerau","Wels Land","Ager","Oberösterreich","437649","465292","47.823961","13.948817","W","O","cm","140","21.12.2010 09:00:00","2","3","0","230","http://www2.land-oberoesterreich.gv.at/internethydro/Online/Start.jsp?station=18"
,4001134,"205922",,"Steyr (Ortskai)","Steyr","Enns","Oberösterreich","481424","461016","48.053529","14.427109","W","O","cm","58","21.12.2010 09:00:00","1","3","0","130","http://www2.land-oberoesterreich.gv.at/internethydro/Online/Start.jsp?station=14"
,4001154,"206128",,"Theresienthal (Gmunden)","Gmunden","Traun","Oberösterreich","434900","448696","47.934804","13.798571","W","O","cm","100","21.12.2010 09:00:00","1","3","0","130","http://www2.land-oberoesterreich.gv.at/internethydro/Online/Start.jsp?station=11"
,5001011,"203117",,"Zell am See","Zell am See","Zeller See","Salzburg","359763","380498","47.328236","12.804909","W","O","cm","181","21.12.2010 12:30:00","1","3","0","130","http://www.salzburg.gv.at/wasserwirtschaft/6-64-seen/hdweb/stations/203117/station.html"
,5001053,"203588",,"Wallersee (SP)","Salzburg Umgebung","Wallersee","Salzburg","386934","446296","47.917205","13.164968","W","O","cm","141","21.12.2010 12:30:00","2","3","0","230","http://www.salzburg.gv.at/wasserwirtschaft/6-64-seen/hdweb/stations/203588/station.html"
,5001055,"203604",,"Mattsee","Salzburg Umgebung","Mattsee","Salzburg","383190","452484","47.974984","13.108406","W","O","cm","123","21.12.2010 12:30:00","2","3","0","230","http://www.salzburg.gv.at/wasserwirtschaft/6-64-seen/hdweb/stations/203604/station.html"
,5001056,"203612",,"Obertrum","Salzburg Umgebung","Obertrumer See","Salzburg","380616","449270","47.977283","13.098965","W","O","cm","125","21.12.2010 12:30:00","1","3","0","130","http://www.salzburg.gv.at/wasserwirtschaft/6-64-seen/hdweb/stations/203612/station.html"
,5001059,"203646",,"St.Gilgen","Salzburg Umgebung","Wolfgangsee","Salzburg","402714","429611","47.739092","13.430958","W","O","cm","79","21.12.2010 12:30:00","1","3","0","130","http://www.salzburg.gv.at/wasserwirtschaft/6-64-seen/hdweb/stations/203646/station.html"
,5001060,"203653",,"Fuschl am See","Salzburg Umgebung","Fuschlsee","Salzburg","397492","433194","47.794015","13.293285","W","O","cm","80","21.12.2010 12:30:00","1","3","0","130","http://www.salzburg.gv.at/wasserwirtschaft/6-64-seen/hdweb/stations/203653/station.html"
,5002212,"204131",,"Grabensee","Salzburg Umgebung","Grabensee","Salzburg","382375","455283","47.989749","13.091712","W","O","cm","121","21.12.2010 12:30:00","1","3","0","130","http://www.salzburg.gv.at/wasserwirtschaft/6-64-seen/hdweb/stations/204131/station.html"
,7001073,"201806",,"Brixlegg","Kufstein","Inn","Tirol","289925","393600","47.43102","11.872487","W","O","cm","225","21.12.2010 13:30:00","2","3","0","230","http://wwwc.tirol.gv.at/wasserstand/images/Stations/201806/Parameter/W/201806_W.png"
,7001132,"212084",,"Prossegg","Lienz","Tauernbach","Tirol","339006","346459","47.018155","12.531195","W","O","cm","124","21.12.2010 07:30:00","1","3","1","131","http://wwwc.tirol.gv.at/wasserstand/images/Stations/212084/Parameter/W/212084_W.png"
,8001033,"200337",,"Bregenz-Hafen","Bregenz","Bodensee","Vorarlberg","130129","406969","47.506997","9.741611","W","O","cm","329","21.12.2010 13:35:00","2","3","0","230","http://www.vorarlberg.at/seewasserstand/Bregenz_dia5.gif"
,10001019,"207019",,"Achleiten","Schärding","Donau","viaDonau","412601","520423","48.545933","13.440056","W","O","cm","297","21.12.2010 13:30:00","9","3","0","930","http://www2.land-oberoesterreich.gv.at/internethydro/Online/Start.jsp?station=1"
